# three_species_cycle_noise_sweep_v5 — ONE cyclic community, FIVE environmental
# noise levels (the researcher's own buffeting knob; level 3 = their baseline run).
# columns: level (1..5, ordered low->high noise), noise_rel (relative buffeting
#          amplitude, normalized to the baseline level 3 = 1.0x), tau (community
#          clock — a lag for the two-point columns, elapsed time for the winding
#          columns), C (normalized rotation-plane autocorr), chi (integrated
#          response), Cxy / Cyx (the two directed cross-correlations between the
#          two community-rotation axes), phiMean / phiVar (mean and variance of
#          the cumulative net turnover angle up to elapsed tau, across sub-windows).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,noise_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2000,36.275987,0.000000,0.401912,-0.000000,0.000000,38.097513,467.739059
2,0.5000,0.090690,0.909248,0.000000,-0.085949,0.085949,0.061997,1.021771
2,0.5000,0.394768,0.617921,0.232189,-0.268755,0.268755,0.290086,3.939721
2,0.5000,0.698846,0.371706,0.382651,-0.330153,0.330153,0.564709,11.765501
2,0.5000,1.002924,0.184966,0.467287,-0.316755,0.316755,0.874818,13.562647
2,0.5000,1.307002,0.057082,0.504088,-0.264542,0.264542,1.223225,16.103894
2,0.5000,1.611081,-0.020627,0.509631,-0.198603,0.198603,1.492473,19.566363
2,0.5000,1.915159,-0.060003,0.497372,-0.134545,0.134545,1.793085,21.992694
2,0.5000,2.219237,-0.072928,0.477161,-0.080594,0.080594,2.121765,24.529743
2,0.5000,2.523315,-0.069622,0.455488,-0.039797,0.039797,2.416335,29.820146
2,0.5000,2.827393,-0.057949,0.436092,-0.011945,0.011945,2.741235,35.959389
2,0.5000,3.131471,-0.043376,0.420687,0.004911,-0.004911,3.024725,39.076496
2,0.5000,3.435549,-0.029293,0.409638,0.013389,-0.013389,3.344385,41.449766
2,0.5000,3.739628,-0.017472,0.402528,0.016106,-0.016106,3.631706,43.806370
2,0.5000,4.043706,-0.008560,0.398571,0.015301,-0.015301,3.947850,46.958534
2,0.5000,4.347784,-0.002494,0.396890,0.012693,-0.012693,4.264879,49.986404
2,0.5000,4.651862,0.001161,0.396687,0.009473,-0.009473,4.623621,53.469774
2,0.5000,4.955940,0.002986,0.397318,0.006377,-0.006377,4.951766,55.844488
2,0.5000,5.260018,0.003556,0.398313,0.003787,-0.003787,5.205276,59.583650
2,0.5000,5.564096,0.003362,0.399364,0.001840,-0.001840,5.514923,62.792748
2,0.5000,5.868174,0.002780,0.400298,0.000520,-0.000520,5.832141,66.612085
2,0.5000,6.172253,0.002069,0.401035,-0.000273,0.000273,6.137624,68.726757
2,0.5000,6.476331,0.001388,0.401561,-0.000666,0.000666,6.358156,70.856290
2,0.5000,6.780409,0.000821,0.401897,-0.000785,0.000785,6.641759,75.778719
2,0.5000,7.084487,0.000396,0.402082,-0.000739,0.000739,6.948951,80.600454
2,0.5000,7.388565,0.000108,0.402158,-0.000609,0.000609,7.342381,84.201551
