# three_species_coupling_sweep_v11 — ONE cyclic community, FIVE cyclic-coupling
# strengths (the researcher's own interaction-strength knob; level 3 = their
# baseline run). The environment/noise is the SAME at every level.
# columns: level (1..5, ordered weak->strong coupling), coupling_rel (relative
#          cyclic-interaction strength, normalized to the baseline level 3 = 1.0x),
#          tau (community clock — a lag for the two-point columns, elapsed time for
#          the winding columns), C (normalized rotation-plane autocorr), chi
#          (integrated response), Cxy / Cyx (the two directed cross-correlations
#          between the two community-rotation axes), phiMean / phiVar (mean and
#          variance of the cumulative net turnover angle up to elapsed tau).
# All columns dimensionless (angle in radians). Five operating points (a sweep).
# Each level watched on its OWN clock, so tau ranges differ (slow loops watched longer).
# Generated by the community's own linear NESS propagator + per-level sim — not via conform.
level,coupling_rel,tau,C,chi,Cxy,Cyx,phiMean,phiVar
1,0.2500,130.508199,-0.000000,0.718627,-0.000000,0.000000,32.737711,2464.786603
1,0.2500,131.724511,-0.000000,0.718627,-0.000000,0.000000,32.998696,2474.303077
1,0.2500,132.940824,-0.000000,0.718627,-0.000000,0.000000,33.361651,2487.279320
1,0.2500,134.157137,-0.000000,0.718627,0.000000,-0.000000,33.873044,2582.169924
1,0.2500,135.373449,-0.000000,0.718627,0.000000,-0.000000,34.363932,2596.338865
1,0.2500,136.589762,-0.000000,0.718627,0.000000,-0.000000,34.972986,2758.887927
1,0.2500,137.806074,-0.000000,0.718627,0.000000,-0.000000,35.392958,2793.315584
1,0.2500,139.022387,-0.000000,0.718627,0.000000,-0.000000,35.703050,2788.556059
1,0.2500,140.238699,0.000000,0.718627,0.000000,-0.000000,35.991551,2812.279820
1,0.2500,141.455012,0.000000,0.718627,0.000000,-0.000000,36.238714,2833.200528
1,0.2500,142.671324,0.000000,0.718627,0.000000,-0.000000,36.650006,2848.612369
1,0.2500,143.887637,0.000000,0.718627,0.000000,-0.000000,36.959186,2875.970153
1,0.2500,145.103949,0.000000,0.718627,0.000000,-0.000000,37.196834,2889.645931
2,0.5000,0.181380,0.830417,0.000000,-0.078497,0.078497,0.093521,1.349622
2,0.5000,0.789536,0.416377,0.379123,-0.181097,0.181097,0.340948,9.058815
2,0.5000,1.397692,0.184797,0.561927,-0.164138,0.164138,0.649774,15.733535
2,0.5000,2.005849,0.067846,0.638750,-0.116187,0.116187,0.966337,22.598806
2,0.5000,2.614005,0.015448,0.664078,-0.071593,0.071593,1.297044,32.679427
2,0.5000,3.222161,-0.004119,0.667523,-0.039655,0.039655,1.528417,52.460993
2,0.5000,3.830317,-0.008840,0.663583,-0.019821,0.019821,1.944708,58.021947
2,0.5000,4.438474,-0.007927,0.658485,-0.008760,0.008760,2.315966,65.560127
2,0.5000,5.046630,-0.005583,0.654377,-0.003191,0.003191,2.718496,79.659719
2,0.5000,5.654786,-0.003429,0.651636,-0.000707,0.000707,2.980878,93.583870
2,0.5000,6.262943,-0.001894,0.650018,0.000214,-0.000214,3.371332,100.610158
2,0.5000,6.871099,-0.000943,0.649155,0.000431,-0.000431,3.703371,105.869395
2,0.5000,7.479255,-0.000415,0.648742,0.000383,-0.000383,3.975490,118.529401
2,0.5000,8.087411,-0.000150,0.648570,0.000268,-0.000268,4.311317,124.837345
2,0.5000,8.695568,-0.000032,0.648515,0.000164,-0.000164,4.629268,133.368362
2,0.5000,9.303724,0.000011,0.648509,0.000090,-0.000090,5.036212,140.606303
2,0.5000,9.911880,0.000021,0.648518,0.000045,-0.000045,5.389145,147.509470
2,0.5000,10.520036,0.000018,0.648530,0.000020,-0.000020,5.774805,156.838582
2,0.5000,11.128193,0.000013,0.648540,0.000007,-0.000007,6.082650,162.187720
2,0.5000,11.736349,0.000008,0.648546,0.000001,-0.000001,6.392886,165.890426
2,0.5000,12.344505,0.000004,0.648550,-0.000001,0.000001,6.649964,174.574594
2,0.5000,12.952661,0.000002,0.648552,-0.000001,0.000001,6.902618,184.552134
2,0.5000,13.560818,0.000001,0.648553,-0.000001,0.000001,7.208733,189.545031
2,0.5000,14.168974,0.000000,0.648553,-0.000001,0.000001,7.591797,197.817841
2,0.5000,14.777130,0.000000,0.648553,-0.000000,0.000000,7.913966,204.400949
2,0.5000,15.385286,-0.000000,0.648553,-0.000000,0.000000,8.221919,216.029074
2,0.5000,15.993443,-0.000000,0.648553,-0.000000,0.000000,8.567213,225.333655
2,0.5000,16.601599,-0.000000,0.648553,-0.000000,0.000000,8.953670,234.381312
2,0.5000,17.209755,-0.000000,0.648553,-0.000000,0.000000,9.326987,238.784825
2,0.5000,17.817911,-0.000000,0.648553,-0.000000,0.000000,9.579435,247.353534
2,0.5000,18.426068,-0.000000,0.648553,0.000000,-0.000000,9.895288,250.587012
2,0.5000,19.034224,-0.000000,0.648553,0.000000,-0.000000,10.167160,261.554112
2,0.5000,19.642380,-0.000000,0.648553,0.000000,-0.000000,10.477797,267.287036
2,0.5000,20.250536,-0.000000,0.648553,0.000000,-0.000000,10.857593,272.848345
2,0.5000,20.858693,-0.000000,0.648553,0.000000,-0.000000,11.092964,279.259134
2,0.5000,21.466849,0.000000,0.648553,0.000000,-0.000000,11.463120,287.091158
2,0.5000,22.075005,0.000000,0.648553,0.000000,-0.000000,11.753993,293.713371
2,0.5000,22.683161,0.000000,0.648553,0.000000,-0.000000,11.982072,302.059478
2,0.5000,23.291318,0.000000,0.648553,0.000000,-0.000000,12.298672,307.818977
2,0.5000,23.899474,0.000000,0.648553,0.000000,-0.000000,12.705574,315.660780
2,0.5000,24.507630,0.000000,0.648553,-0.000000,0.000000,13.042923,327.660540
2,0.5000,25.115786,0.000000,0.648553,-0.000000,0.000000,13.362073,332.642399
2,0.5000,25.723943,0.000000,0.648553,-0.000000,0.000000,13.795142,341.539322
2,0.5000,26.332099,0.000000,0.648553,-0.000000,0.000000,14.076070,354.980934
2,0.5000,26.940255,0.000000,0.648553,-0.000000,0.000000,14.401306,360.550842
2,0.5000,27.548412,-0.000000,0.648553,-0.000000,0.000000,14.627805,367.868433
2,0.5000,28.156568,-0.000000,0.648553,-0.000000,0.000000,14.936198,373.571386
2,0.5000,28.764724,-0.000000,0.648553,-0.000000,0.000000,15.187605,406.335457
2,0.5000,29.372880,-0.000000,0.648553,-0.000000,0.000000,15.536550,416.462216
2,0.5000,29.981037,-0.000000,0.648553,-0.000000,0.000000,15.840012,426.785975
2,0.5000,30.589193,-0.000000,0.648553,0.000000,-0.000000,16.201388,435.282096
2,0.5000,31.197349,-0.000000,0.648553,0.000000,-0.000000,16.572275,439.762628
2,0.5000,31.805505,-0.000000,0.648553,0.000000,-0.000000,16.886267,443.808667
2,0.5000,32.413662,-0.000000,0.648553,0.000000,-0.000000,17.314780,451.105346
2,0.5000,33.021818,-0.000000,0.648553,0.000000,-0.000000,17.595071,488.225248
2,0.5000,33.629974,0.000000,0.648553,0.000000,-0.000000,17.981880,494.279883
2,0.5000,34.238130,0.000000,0.648553,0.000000,-0.000000,18.303666,499.606435
2,0.5000,34.846287,0.000000,0.648553,0.000000,-0.000000,18.643658,510.379258
2,0.5000,35.454443,0.000000,0.648553,0.000000,-0.000000,18.954066,517.295863
2,0.5000,36.062599,0.000000,0.648553,0.000000,-0.000000,19.254001,524.875646
2,0.5000,36.670755,0.000000,0.648553,-0.000000,0.000000,19.586067,536.729607
