# observation_window_sweep_v13 -- BLIND artifact (provenance below stripped by pose.py).
# ONE fluctuating signal, measured at FIVE observation-window lengths (level 0 shortest
# watching -> level 4 longest). tau is the signal's own clock (a lag). Columns: level,
# window_rel (relative observation-window length, normalized to the shortest run = 1.0x),
# tau, C (autocorrelation), chi (integrated step-response). No times, no model parameters.
# Sampling is fixed-fine; only the observation DURATION (max lag) differs across levels.
level,window_rel,tau,C,chi
7,8.0025,3.41662,0.61108283,0.38891717
7,8.0025,4.01938,0.60477886,0.39522114
7,8.0025,4.72848,0.60070557,0.39929443
7,8.0025,5.56268,0.59820705,0.40179295
7,8.0025,6.54405,0.59666185,0.40333815
7,8.0025,7.69855,0.59558,0.40442
7,8.0025,9.05674,0.59463713,0.40536287
7,8.0025,10.6545,0.59365065,0.40634935
7,8.0025,12.5342,0.59252785,0.40747215
7,8.0025,14.7455,0.59121777,0.40878223
7,8.0025,17.3469,0.58968162,0.41031838
7,8.0025,20.4073,0.58787974,0.41212026
7,8.0025,24.0075,0.58576703,0.41423297
8,10.7711,0,1,0
8,10.7711,0.05,0.98046177,0.019538229
8,10.7711,0.0592827,0.97694054,0.023059456
8,10.7711,0.0702888,0.97280765,0.027192348
8,10.7711,0.0833383,0.96796595,0.032034048
8,10.7711,0.0988104,0.96230651,0.037693494
8,10.7711,0.117155,0.95570865,0.04429135
8,10.7711,0.138905,0.94804084,0.051959163
8,10.7711,0.164694,0.93916257,0.060837426
8,10.7711,0.19527,0.92892792,0.071072082
8,10.7711,0.231523,0.91719103,0.082808969
8,10.7711,0.274506,0.90381438,0.096185619
8,10.7711,0.325469,0.8886802,0.1113198
8,10.7711,0.385894,0.87170563,0.12829437
8,10.7711,0.457537,0.85286181,0.14713819
8,10.7711,0.54248,0.83219646,0.16780354
8,10.7711,0.643194,0.80985855,0.19014145
8,10.7711,0.762606,0.78612231,0.21387769
8,10.7711,0.904187,0.76140606,0.23859394
8,10.7711,1.07205,0.73627904,0.26372096
8,10.7711,1.27109,0.71144864,0.28855136
8,10.7711,1.50707,0.68771991,0.31228009
8,10.7711,1.78686,0.66592283,0.33407717
8,10.7711,2.1186,0.64681007,0.35318993
8,10.7711,2.51193,0.63093941,0.36906059
8,10.7711,2.97828,0.61856782,0.38143218
8,10.7711,3.53121,0.60959281,0.39040719
8,10.7711,4.18679,0.60357114,0.39642886
8,10.7711,4.96409,0.59982264,0.40017736
8,10.7711,5.8857,0.59759052,0.40240948
8,10.7711,6.9784,0.59620025,0.40379975
8,10.7711,8.27397,0.59515812,0.40484188
8,10.7711,9.81008,0.59416469,0.40583531
8,10.7711,11.6314,0.59306517,0.40693483
8,10.7711,13.7908,0.59178274,0.40821726
8,10.7711,16.3511,0.59026915,0.40973085
8,10.7711,19.3867,0.58847998,0.41152002
8,10.7711,22.986,0.58636571,0.41363429
8,10.7711,27.2534,0.58386876,0.41613124
8,10.7711,32.3132,0.580922,0.419078
9,14.4974,0,1,0
9,14.4974,0.05,0.98046177,0.019538229
9,14.4974,0.059748,0.97676489,0.023235111
9,14.4974,0.0713966,0.97239419,0.027605813
9,14.4974,0.0853161,0.96723759,0.032762406
9,14.4974,0.101949,0.96116891,0.038831088
9,14.4974,0.121826,0.954048,0.045951997
9,14.4974,0.145577,0.94572204,0.054277965
9,14.4974,0.173959,0.93602828,0.063971716
9,14.4974,0.207874,0.9247991,0.075200902
9,14.4974,0.248401,0.91186978,0.088130224
9,14.4974,0.29683,0.89709017,0.10290983
9,14.4974,0.3547,0.88034079,0.11965921
9,14.4974,0.423852,0.86155392,0.13844608
9,14.4974,0.506487,0.84073968,0.15926032
9,14.4974,0.605232,0.81801599,0.18198401
9,14.4974,0.723229,0.79363943,0.20636057
9,14.4974,0.864231,0.76803195,0.23196805
9,14.4974,1.03272,0.74179532,0.25820468
9,14.4974,1.23406,0.71570307,0.28429693
9,14.4974,1.47466,0.69065881,0.30934119
9,14.4974,1.76216,0.66761333,0.33238667
9,14.4974,2.10571,0.64744166,0.35255834
9,14.4974,2.51624,0.63079725,0.36920275
9,14.4974,3.00681,0.61797833,0.38202167
9,14.4974,3.59302,0.60885412,0.39114588
9,14.4974,4.29352,0.60289214,0.39710786
9,14.4974,5.13058,0.59929477,0.40070523
9,14.4974,6.13085,0.59720264,0.40279736
9,14.4974,7.32612,0.59588363,0.40411637
9,14.4974,8.75443,0.59483337,0.40516663
9,14.4974,10.4612,0.59376744,0.40623256
9,14.4974,12.5007,0.59254774,0.40745226
9,14.4974,14.9379,0.59110401,0.40889599
9,14.4974,17.8502,0.58938491,0.41061509
9,14.4974,21.3303,0.58733736,0.41266264
9,14.4974,25.4889,0.58489994,0.41510006
9,14.4974,30.4582,0.58200059,0.41799941
9,14.4974,36.3964,0.57855482,0.42144518
9,14.4974,43.4922,0.574464,0.425536
10,19.5129,0,1,0
10,19.5129,0.05,0.98046177,0.019538229
10,19.5129,0.060217,0.97658794,0.023412062
10,19.5129,0.0725218,0.97197467,0.028025326
10,19.5129,0.087341,0.96649344,0.033506561
10,19.5129,0.105188,0.95999891,0.04000109
10,19.5129,0.126682,0.95232934,0.047670658
10,19.5129,0.152569,0.94330838,0.056691621
10,19.5129,0.183745,0.932749,0.067250998
10,19.5129,0.221291,0.92046048,0.079539516
10,19.5129,0.26651,0.9062594,0.093740603
10,19.5129,0.320969,0.88998574,0.11001426
10,19.5129,0.386556,0.87152518,0.12847482
10,19.5129,0.465545,0.85083786,0.14916214
10,19.5129,0.560675,0.82799318,0.17200682
10,19.5129,0.675243,0.80320799,0.19679201
10,19.5129,0.813223,0.7768829,0.2231171
10,19.5129,0.979397,0.74962757,0.25037243
10,19.5129,1.17953,0.72226221,0.27773779
10,19.5129,1.42055,0.69578037,0.30421963
10,19.5129,1.71083,0.67126066,0.32873934
10,19.5129,2.06042,0.64972508,0.35027492
10,19.5129,2.48145,0.63196173,0.36803827
10,19.5129,2.98851,0.61835452,0.38164548
10,19.5129,3.59918,0.60878277,0.39121723
10,19.5129,4.33464,0.60264746,0.39735254
10,19.5129,5.22039,0.59903802,0.40096198
10,19.5129,6.28713,0.5969836,0.4030164
10,19.5129,7.57184,0.59567995,0.40432005
10,19.5129,9.11907,0.59459725,0.40540275
10,19.5129,10.9825,0.59345337,0.40654663
10,19.5129,13.2266,0.59211699,0.40788301
10,19.5129,15.9294,0.59051815,0.40948185
10,19.5129,19.1844,0.58859908,0.41140092
10,19.5129,23.1045,0.5862962,0.4137038
10,19.5129,27.8257,0.5835347,0.4164653
10,19.5129,33.5117,0.58022618,0.41977382
10,19.5129,40.3594,0.57626649,0.42373351
10,19.5129,48.6065,0.57153352,0.42846648
10,19.5129,58.5388,0.56588499,0.43411501
11,26.2636,0,1,0
11,26.2636,0.05,0.98046177,0.019538229
11,26.2636,0.0606897,0.97640968,0.023590319
11,26.2636,0.0736648,0.97154903,0.028450969
11,26.2636,0.0894138,0.96573318,0.034266821
11,26.2636,0.10853,0.9587957,0.041204304
11,26.2636,0.131733,0.95055098,0.049449021
11,26.2636,0.159897,0.94079681,0.059203188
11,26.2636,0.194082,0.92931985,0.070680147
11,26.2636,0.235575,0.91590524,0.084094764
11,26.2636,0.285939,0.9003517,0.099648297
11,26.2636,0.347072,0.88249371,0.11750629
11,26.2636,0.421273,0.8622316,0.1377684
11,26.2636,0.511339,0.83957014,0.16042986
11,26.2636,0.62066,0.81466355,0.18533645
11,26.2636,0.753353,0.78786229,0.21213771
11,26.2636,0.914415,0.75975196,0.24024804
11,26.2636,1.10991,0.73116967,0.26883033
11,26.2636,1.3472,0.7031787,0.2968213
11,26.2636,1.63523,0.67698288,0.32301712
11,26.2636,1.98483,0.65377194,0.34622806
11,26.2636,2.40917,0.63451209,0.36548791
11,26.2636,2.92424,0.61973024,0.38026976
11,26.2636,3.54942,0.60937061,0.39062939
11,26.2636,4.30827,0.60280334,0.39719666
11,26.2636,5.22935,0.59901339,0.40098661
11,26.2636,6.34735,0.5969042,0.4030958
11,26.2636,7.70437,0.59557548,0.40442452
11,26.2636,9.35152,0.59444997,0.40555003
11,26.2636,11.3508,0.59323272,0.40676728
11,26.2636,13.7776,0.59179057,0.40820943
11,26.2636,16.7231,0.59004959,0.40995041
11,26.2636,20.2984,0.58794374,0.41205626
11,26.2636,24.6381,0.58539778,0.41460222
11,26.2636,29.9055,0.58232233,0.41767767
11,26.2636,36.2992,0.57861106,0.42138894
11,26.2636,44.0597,0.57413811,0.42586189
11,26.2636,53.4794,0.5687553,0.4312447
11,26.2636,64.9129,0.56228944,0.43771056
11,26.2636,78.7909,0.55453989,0.44546011
12,35.3498,0,1,0
12,35.3498,0.05,0.98046177,0.019538229
12,35.3498,0.0611661,0.97623011,0.02376989
12,35.3498,0.0748257,0.97111718,0.028882823
12,35.3498,0.0915359,0.9649565,0.035043496
12,35.3498,0.111978,0.95755846,0.042441541
12,35.3498,0.136985,0.9487112,0.051288797
12,35.3498,0.167576,0.93818426,0.061815742
12,35.3498,0.205,0.92573601,0.074263987
12,35.3498,0.250781,0.9111268,0.088873201
12,35.3498,0.306785,0.89413942,0.10586058
12,35.3498,0.375297,0.874609,0.125391
12,35.3498,0.459108,0.85246328,0.14753672
12,35.3498,0.561637,0.82777299,0.17222701
12,35.3498,0.687063,0.80080854,0.19919146
12,35.3498,0.840498,0.77209412,0.22790588
12,35.3498,1.0282,0.74244358,0.25755642
12,35.3498,1.25782,0.71295526,0.28704474
12,35.3498,1.53872,0.68494018,0.31505982
12,35.3498,1.88234,0.65976488,0.34023512
12,35.3498,2.30271,0.63861498,0.36138502
12,35.3498,2.81695,0.62222733,0.37777267
12,35.3498,3.44604,0.61068459,0.38931541
12,35.3498,4.21561,0.60338127,0.39661873
12,35.3498,5.15705,0.59921721,0.40078279
12,35.3498,6.30872,0.59695482,0.40304518
12,35.3498,7.7176,0.59556524,0.40443476
12,35.3498,9.4411,0.59439375,0.40560625
12,35.3498,11.5495,0.59311402,0.40688598
12,35.3498,14.1287,0.59158265,0.40841735
