# coupling_ramp_v7 — ONE matched (mutual-interaction) three-population
#   community observed at FIVE increasing interaction-strength settings.
# 'level' is a neutral 0..4 index = how far the strength knob was turned up
#   (the strength magnitudes themselves are NOT in the file).
# columns: level, tau (the community's own clock — a lag for the two-point
#   columns, an elapsed time for the winding columns), C (normalized
#   turnover-plane autocorr), chi (integrated response), Cxy / Cyx (the two
#   directed cross-correlations), phiMean / phiVar (mean & variance of the
#   cumulative net turnover angle). Each level has its OWN settling window.
# All columns dimensionless (angle in radians). Five operating points.
# Generated by the community's own exact linear propagator + sim — not via conform.
level,tau,C,chi,Cxy,Cyx,phiMean,phiVar
0,11.236975,0.000250,1.071201,0.000249,0.000249,-0.396980,149.092288
0,11.332773,0.000233,1.071218,0.000233,0.000233,-0.434855,155.259397
0,11.428571,0.000218,1.071235,0.000218,0.000218,-0.454922,156.029200
1,0.050000,0.968782,0.000000,0.599536,0.599536,-0.006115,0.322023
1,0.217647,0.874485,0.147775,0.592112,0.592112,0.003572,1.887325
1,0.385294,0.793706,0.274331,0.577768,0.577768,-0.024765,3.070837
1,0.552941,0.723827,0.383781,0.558693,0.558693,-0.033387,4.200536
1,0.720588,0.662810,0.479327,0.536527,0.536527,-0.008501,8.091544
1,0.888235,0.609060,0.563473,0.512488,0.512488,0.038790,9.468267
1,1.055882,0.561328,0.638182,0.487476,0.487476,0.002220,11.045797
1,1.223529,0.518628,0.705002,0.462151,0.462151,0.054652,13.050979
1,1.391176,0.480177,0.765161,0.436989,0.436989,0.055337,14.025306
1,1.558824,0.445353,0.819639,0.412325,0.412325,-0.013402,15.723092
1,1.726471,0.413653,0.869222,0.388396,0.388396,0.041599,25.547765
1,1.894118,0.384672,0.914549,0.365357,0.365357,0.096385,26.798238
1,2.061765,0.358076,0.956140,0.343306,0.343306,0.030260,28.747644
1,2.229412,0.333593,0.994425,0.322298,0.322298,0.051056,30.225682
1,2.397059,0.310994,1.029761,0.302356,0.302356,0.066346,31.740950
1,2.564706,0.290087,1.062449,0.283481,0.283481,0.049610,32.842652
1,2.732353,0.270709,1.092745,0.265657,0.265657,0.032520,33.538400
1,2.900000,0.252720,1.120868,0.248857,0.248857,0.005727,35.201718
